farm_name,latitude,longitude,,,,,
Brooks Solar,50.57787,-111.866991,,,,,
Vauxhall,50.0962,-112.1112,,,,,
Hull,49.9945,-112.0459,,,,,
Innisfail,52.0468,-113.9768,,,,,
Suffield,50.2774,-111.277,,,,,
Claresholm 1,50.0471,-113.39095,,,,,
Claresholm 2,50.053497,-113.399057,,,,,
BRD1 Burdett,49.82123,-111.54973,,,,,
BUR1 Burdett,49.8161,-111.54156,,,,,
Westfield Yellow Lake,49.65433,-111.51575,,,,,
Hays,50.0798,-111.7868,,,,,
Jenner,50.751,-111.1293,,,,,
Travers,50.2887,-112.711,,,,,
Brooks Solar 1,50.58012,-111.84358,,,,,
Strathmore 2,51.0289,-113.366,,,,,
Strathmore 1,51.0289,-113.366,,,,,
Brooks Solar 2,50.58243,-111.82146,,,,,
COL1 Coaldale,49.8064,-112.58594,,,,,
East Strathmore Namaka,51.02665,-113.35182,,,,,
Monarch,49.8303,-112.9773,,,,,
Conrad 1,49.5233,-112.0248,,,,,
Conrad 2,49.5233,-112.0248,,,,,
kisikaw-pisim 1,53.4695,-113.6121,,,,,
kisikaw-pisim 2,53.4695,-113.6121,,,,,
Vulcan,50.3662,-113.2274,,,,,
Clydesdale 2,50.18648,-112.40425,,,,,
Clydesdale 1,50.18648,-112.40425,,,,,
Kneehill Solar,51.73984,-113.27821,,,,,
Michichi Solar,51.5014,-112.709,,,,,
Stavely,50.15964,-113.56066,,,,,
Barlow Solar,50.95367,-113.98678,,,,,
Chappice Lake,50.22251,-110.44111,,,,,
Michichi Creek,51.58655,-112.54028,,,,,
Empress Solar Park,50.6885,-110.00975,,,,,
Deerfoot,50.9489,-113.9645,,,,,
Youngstown Solar,51.5294,-111.2115,,,,,
Saddlebrook Solar,50.6531,-113.8724,,,,,
Joffre Solar 2,52.3218,-113.5435,,,,,
Joffre Solar 1,52.3218,-113.5435,,,,,
Wheatcrest,50.2679,-112.4099,,,,,
Fox Coulee Solar,51.6114,-112.1764,,,,,
Spring Coulee,49.2908,-113.1551,,,,,
Sollair Solar Energy Plant,51.3326,-113.9779,,,,,